医療機関CD,病院区分,年度,診療年月日,科コード,診療科,紹介件数
0111400,0,2024,2024-04-02,16,乳甲外,1
0112036,0,2024,2024-04-02,26,眼科,1
0114032,0,2024,2024-04-01,18,整形外,1
0114560,0,2024,2024-04-02,10,小児科,1
0115641,0,2024,2024-04-02,34,救急科,1
0116169,0,2024,2024-04-01,34,救急科,1
0116185,0,2024,2024-04-01,26,眼科,1
0116821,0,2024,2024-04-02,16,乳甲外,1
0116821,0,2024,2024-04-01,28,放診断,1
0204502,0,2024,2024-04-01,20,脳神外,1
0206861,0,2024,2024-04-01,50,消化内,1
0210012,0,2024,2024-04-01,50,消化内,1
0210012,0,2024,2024-04-01,9,脳卒中,1
0210186,0,2024,2024-04-01,18,整形外,1
0210418,0,2024,2024-04-01,7,循環内,1
0210418,0,2024,2024-04-01,9,脳卒中,1
0210418,0,2024,2024-04-01,20,脳神外,1
0210822,0,2024,2024-04-01,8,腎臓内,1
0210863,0,2024,2024-04-01,7,循環内,1
0211481,0,2024,2024-04-01,28,放診断,1
0211481,0,2024,2024-04-01,8,腎臓内,1
0211515,0,2024,2024-04-01,2,脳神内,1
0211887,0,2024,2024-04-01,10,小児科,1
0212240,0,2024,2024-04-01,8,腎臓内,1
0213065,0,2024,2024-04-01,18,整形外,1
0310820,0,2024,2024-04-01,6,糖尿内,1
0410125,0,2024,2024-04-01,6,糖尿内,1
0410372,0,2024,2024-04-01,26,眼科,1
0810019,0,2024,2024-04-01,31,リハ,1
0810100,0,2024,2024-04-01,21,皮膚科,1
0910199,0,2024,2024-04-01,27,臨腫瘍,1
1511276,0,2024,2024-04-01,2,脳神内,1
1710720,0,2024,2024-04-01,48,リウ膠,1
8900127,0,2024,2024-04-01,9,脳卒中,1
8900416,0,2024,2024-04-01,26,眼科,1
8902610,0,2024,2024-04-01,1,血液内,1
9800011,0,2024,2024-04-01,18,整形外,1
