医療機関CD,病院区分,年度,診療年月日,科コード,診療科,紹介件数
1010288,0,2024,2024-04-02,19,形成外,1
111400,0,2024,2024-04-02,16,乳甲外,1
112036,0,2024,2024-04-02,26,眼科,1
114032,0,2024,2024-04-01,18,整形外,1
114560,0,2024,2024-04-02,10,小児科,1
115641,0,2024,2024-04-02,34,救急科,1
116169,0,2024,2024-04-01,34,救急科,1
116185,0,2024,2024-04-01,26,眼科,1
116821,0,2024,2024-04-02,16,乳甲外,1
116821,0,2024,2024-04-01,28,放診断,1
116821,0,2024,2024-04-02,28,放診断,1
122027,0,2024,2024-04-02,21,皮膚科,1
123470,0,2024,2024-04-02,10,小児科,1
1511276,0,2024,2024-04-01,2,脳神内,1
1512977,0,2024,2024-04-02,18,整形外,1
1516168,0,2024,2024-04-02,26,眼科,1
1710720,0,2024,2024-04-01,48,リウ膠,1
204502,0,2024,2024-04-01,20,脳神外,1
206267,0,2024,2024-04-02,9,脳卒中,1
206713,0,2024,2024-04-02,7,循環内,1
206861,0,2024,2024-04-02,34,救急科,1
206861,0,2024,2024-04-01,50,消化内,1
207083,0,2024,2024-04-02,43,産婦人,1
210012,0,2024,2024-04-01,50,消化内,1
210012,0,2024,2024-04-01,9,脳卒中,1
210145,0,2024,2024-04-02,2,脳神内,1
210186,0,2024,2024-04-01,18,整形外,1
210418,0,2024,2024-04-01,7,循環内,1
210418,0,2024,2024-04-01,9,脳卒中,1
210418,0,2024,2024-04-01,20,脳神外,1
210517,0,2024,2024-04-02,34,救急科,1
210756,0,2024,2024-04-02,29,放治療,1
210822,0,2024,2024-04-01,8,腎臓内,1
210863,0,2024,2024-04-01,7,循環内,1
211218,0,2024,2024-04-02,34,救急科,1
211259,0,2024,2024-04-02,22,泌尿器,1
211333,0,2024,2024-04-02,21,皮膚科,1
211481,0,2024,2024-04-01,28,放診断,1
211481,0,2024,2024-04-01,8,腎臓内,1
211515,0,2024,2024-04-01,2,脳神内,1
211887,0,2024,2024-04-01,10,小児科,1
212026,0,2024,2024-04-02,26,眼科,2
212240,0,2024,2024-04-01,8,腎臓内,1
212430,0,2024,2024-04-02,6,糖尿内,1
212794,0,2024,2024-04-02,26,眼科,1
212828,0,2024,2024-04-02,2,脳神内,1
212927,0,2024,2024-04-02,9,脳卒中,1
212968,0,2024,2024-04-02,9,脳卒中,1
213040,0,2024,2024-04-02,21,皮膚科,1
213065,0,2024,2024-04-01,18,整形外,1
213172,0,2024,2024-04-02,21,皮膚科,1
213214,0,2024,2024-04-02,9,脳卒中,1
213222,0,2024,2024-04-02,21,皮膚科,1
2600723,0,2024,2024-04-02,26,眼科,2
310820,0,2024,2024-04-01,6,糖尿内,1
410125,0,2024,2024-04-01,6,糖尿内,1
410372,0,2024,2024-04-01,26,眼科,1
510098,0,2024,2024-04-02,17,小児外,1
510098,0,2024,2024-04-02,8,腎臓内,1
710086,0,2024,2024-04-02,18,整形外,1
810019,0,2024,2024-04-01,31,リハ,1
810019,0,2024,2024-04-02,14,消化外,1
810100,0,2024,2024-04-01,21,皮膚科,1
810522,0,2024,2024-04-02,8,腎臓内,1
8900127,0,2024,2024-04-02,34,救急科,2
8900127,0,2024,2024-04-01,9,脳卒中,1
8900416,0,2024,2024-04-01,26,眼科,1
8902610,0,2024,2024-04-01,1,血液内,1
8903089,0,2024,2024-04-02,34,救急科,1
910199,0,2024,2024-04-01,27,臨腫瘍,1
910249,0,2024,2024-04-02,7,循環内,1
9800011,0,2024,2024-04-01,18,整形外,1
