医療機関CD,病院区分,年度,診療年月日,科コード,診療科,紹介件数
0104443,0,2024,2024-06-21,32,歯口外,1
0104443,0,2024,2025-03-03,32,歯口外,1
0105408,0,2024,2025-03-29,32,歯口外,1
0105895,0,2024,2024-11-13,32,歯口外,1
0106059,0,2024,2024-07-29,32,歯口外,1
0106059,0,2024,2024-08-07,32,歯口外,1
0106067,0,2024,2024-06-19,32,歯口外,1
0106067,0,2024,2024-08-05,32,歯口外,1
0106067,0,2024,2024-11-29,32,歯口外,1
0106356,0,2024,2024-07-08,32,歯口外,1
0106356,0,2024,2025-01-27,32,歯口外,1
0106356,0,2024,2025-03-17,32,歯口外,1
0106356,0,2024,2025-03-24,32,歯口外,1
0106588,0,2024,2025-02-05,32,歯口外,1
0106976,0,2024,2025-01-27,32,歯口外,1
0107024,0,2024,2024-08-21,32,歯口外,1
0107040,0,2024,2024-06-26,32,歯口外,1
0107135,0,2024,2024-06-05,18,整形外,1
0107135,0,2024,2024-06-18,18,整形外,1
0107305,0,2024,2024-08-28,32,歯口外,1
0107305,0,2024,2024-10-02,32,歯口外,1
0107305,0,2024,2024-10-30,32,歯口外,1
0107305,0,2024,2024-11-27,32,歯口外,1
0107305,0,2024,2025-02-26,32,歯口外,1
0107564,0,2024,2024-05-02,26,眼科,1
0107564,0,2024,2024-05-30,26,眼科,1
0107564,0,2024,2024-06-06,26,眼科,1
0107564,0,2024,2024-06-21,26,眼科,1
0107564,0,2024,2024-07-04,26,眼科,1
0107564,0,2024,2024-07-18,26,眼科,1
0107564,0,2024,2025-02-06,26,眼科,1
0107564,0,2024,2025-02-13,26,眼科,1
0107564,0,2024,2025-02-27,26,眼科,1
0107564,0,2024,2025-03-06,26,眼科,1
0107564,0,2024,2025-03-13,26,眼科,1
0107663,0,2024,2024-12-19,5,呼吸内,1
0107663,0,2024,2024-10-24,10,小児科,1
0107663,0,2024,2024-05-22,7,循環内,1
0107663,0,2024,2024-06-03,7,循環内,1
0107663,0,2024,2024-11-28,18,整形外,1
0107663,0,2024,2024-05-08,50,消化内,1
0107663,0,2024,2024-08-01,50,消化内,1
0107663,0,2024,2024-11-18,2,脳神内,1
0107663,0,2024,2025-02-06,8,腎臓内,1
0107982,0,2024,2024-06-18,32,歯口外,1
