医療機関CD,病院区分,年度,診療年月日,科コード,診療科,紹介件数
0103825,0,2015,0000-00-00,0,歯口外,1
0104047,0,2019,0000-00-00,0,歯口外,1
0104443,0,2013,0000-00-00,0,歯口外,6
0104443,0,2014,0000-00-00,0,歯口外,4
0104443,0,2015,0000-00-00,0,歯口外,1
0104443,0,2016,0000-00-00,0,歯口外,5
0104443,0,2017,0000-00-00,0,歯口外,3
0104443,0,2018,0000-00-00,0,歯口外,4
0104443,0,2019,0000-00-00,0,歯口外,6
0104443,0,2020,0000-00-00,0,歯口外,1
0104443,0,2021,0000-00-00,0,歯口外,3
0104443,0,2022,0000-00-00,0,歯口外,2
0104443,0,2023,0000-00-00,32,歯口外,4
0104443,0,2024,2024-06-21,32,歯口外,1
0104443,0,2024,2025-03-03,32,歯口外,1
0104666,0,2020,0000-00-00,0,歯口外,1
0104682,0,2013,0000-00-00,0,歯口外,1
0104682,0,2014,0000-00-00,0,歯口外,1
0104682,0,2018,0000-00-00,0,歯口外,1
0104682,0,2015,0000-00-00,0,総合診,1
0104948,0,2023,0000-00-00,32,歯口外,1
0105093,0,2013,0000-00-00,0,循環内,1
0105093,0,2019,0000-00-00,0,循環内,1
0105093,0,2014,0000-00-00,0,歯口外,2
0105093,0,2016,0000-00-00,0,歯口外,1
0105093,0,2017,0000-00-00,0,歯口外,2
0105093,0,2019,0000-00-00,0,歯口外,1
0105093,0,2020,0000-00-00,0,歯口外,1
0105093,0,2021,0000-00-00,0,歯口外,3
0105135,0,2021,0000-00-00,0,産婦人,1
0105291,0,2017,0000-00-00,0,歯口外,1
0105408,0,2021,0000-00-00,0,歯口外,1
0105408,0,2024,2025-03-29,32,歯口外,1
0105408,0,2013,0000-00-00,0,皮膚科,1
0105515,0,2020,0000-00-00,0,歯口外,1
0105667,0,2018,0000-00-00,0,形成外,1
0105667,0,2016,0000-00-00,0,泌尿器,1
0105667,0,2017,0000-00-00,0,消化外,1
0105667,0,2019,0000-00-00,0,消化外,1
0105667,0,2021,0000-00-00,0,消化外,2
0105667,0,2023,0000-00-00,14,消化外,1
0105667,0,2016,0000-00-00,0,皮膚科,1
0105667,0,2023,0000-00-00,21,皮膚科,1
0105667,0,2016,0000-00-00,0,胃腸内,1
0105667,0,2017,0000-00-00,0,胃腸内,1
0105667,0,2018,0000-00-00,0,胃腸内,1
0105667,0,2019,0000-00-00,0,胃腸内,1
0105667,0,2020,0000-00-00,0,胃腸内,1
0105667,0,2021,0000-00-00,0,胃腸内,1
0105683,0,2015,0000-00-00,0,総合診,1
0105895,0,2022,0000-00-00,0,歯口外,1
0105895,0,2024,2024-11-13,32,歯口外,1
0105937,0,2019,0000-00-00,0,歯口外,1
0105937,0,2020,0000-00-00,0,歯口外,2
0105937,0,2021,0000-00-00,0,歯口外,2
0105937,0,2022,0000-00-00,0,歯口外,4
0106026,0,2014,0000-00-00,0,歯口外,1
0106059,0,2021,0000-00-00,0,歯口外,3
0106059,0,2022,0000-00-00,0,歯口外,5
0106059,0,2023,0000-00-00,32,歯口外,5
0106059,0,2024,2024-07-29,32,歯口外,1
0106059,0,2024,2024-08-07,32,歯口外,1
0106067,0,2015,0000-00-00,0,歯口外,1
0106067,0,2016,0000-00-00,0,歯口外,1
0106067,0,2024,2024-06-19,32,歯口外,1
0106067,0,2024,2024-08-05,32,歯口外,1
0106067,0,2024,2024-11-29,32,歯口外,1
0106067,0,2016,0000-00-00,0,耳鼻科,1
0106067,0,2023,0000-00-00,1,血液内,1
0106166,0,2014,0000-00-00,0,歯口外,1
0106166,0,2016,0000-00-00,0,歯口外,1
0106281,0,2018,0000-00-00,0,歯口外,1
0106281,0,2019,0000-00-00,0,歯口外,2
0106349,0,2013,0000-00-00,0,脳卒中,1
0106356,0,2013,0000-00-00,0,歯口外,1
0106356,0,2020,0000-00-00,0,歯口外,2
0106356,0,2024,2024-07-08,32,歯口外,1
0106356,0,2024,2025-01-27,32,歯口外,1
0106356,0,2024,2025-03-17,32,歯口外,1
0106356,0,2024,2025-03-24,32,歯口外,1
0106414,0,2015,0000-00-00,0,歯口外,1
0106414,0,2018,0000-00-00,0,歯口外,1
0106414,0,2021,0000-00-00,0,歯口外,2
0106414,0,2022,0000-00-00,0,歯口外,1
0106414,0,2023,0000-00-00,32,歯口外,1
0106414,0,2020,0000-00-00,0,皮膚科,1
0106414,0,2018,0000-00-00,0,腎臓内,1
0106455,0,2015,0000-00-00,0,歯口外,1
0106539,0,2013,0000-00-00,0,歯口外,1
0106558,0,2017,0000-00-00,0,乳甲外,1
0106558,0,2018,0000-00-00,0,乳甲外,2
0106558,0,2019,0000-00-00,0,乳甲外,1
0106558,0,2021,0000-00-00,0,乳甲外,4
0106558,0,2023,0000-00-00,16,乳甲外,3
0106558,0,2020,0000-00-00,0,整形外,1
0106588,0,2021,0000-00-00,0,歯口外,1
0106588,0,2024,2025-02-05,32,歯口外,1
0106620,0,2019,0000-00-00,0,歯口外,1
0106679,0,2021,0000-00-00,0,歯口外,1
0106786,0,2020,0000-00-00,0,歯口外,1
0106968,0,2021,0000-00-00,0,歯口外,1
0106968,0,2023,0000-00-00,32,歯口外,1
0106976,0,2013,0000-00-00,0,歯口外,1
0106976,0,2018,0000-00-00,0,歯口外,2
0106976,0,2020,0000-00-00,0,歯口外,1
0106976,0,2022,0000-00-00,0,歯口外,2
0106976,0,2024,2025-01-27,32,歯口外,1
0107024,0,2020,0000-00-00,0,循環内,1
0107024,0,2013,0000-00-00,0,歯口外,1
0107024,0,2022,0000-00-00,0,歯口外,4
0107024,0,2024,2024-08-21,32,歯口外,1
0107040,0,2024,2024-06-26,32,歯口外,1
0107057,0,2018,0000-00-00,0,整形外,1
0107085,0,2015,0000-00-00,0,整形外,1
0107085,0,2016,0000-00-00,0,整形外,3
0107085,0,2017,0000-00-00,0,整形外,1
0107085,0,2023,0000-00-00,18,整形外,2
0107135,0,2020,0000-00-00,0,救急科,1
0107135,0,2013,0000-00-00,0,整形外,3
0107135,0,2016,0000-00-00,0,整形外,1
0107135,0,2017,0000-00-00,0,整形外,1
0107135,0,2018,0000-00-00,0,整形外,3
0107135,0,2021,0000-00-00,0,整形外,1
0107135,0,2022,0000-00-00,0,整形外,1
0107135,0,2023,0000-00-00,18,整形外,1
0107135,0,2024,2024-06-05,18,整形外,1
0107135,0,2024,2024-06-18,18,整形外,1
0107135,0,2018,0000-00-00,0,脳神外,1
0107149,0,2021,0000-00-00,0,リウ膠,1
0107149,0,2022,0000-00-00,0,リウ膠,1
0107149,0,2021,0000-00-00,0,歯口外,1
0107305,0,2013,0000-00-00,0,歯口外,2
0107305,0,2014,0000-00-00,0,歯口外,5
0107305,0,2015,0000-00-00,0,歯口外,7
