医療機関CD,病院区分,年度,診療年月日,科コード,診療科,紹介件数
0111400,0,2024,2024-04-01,16,乳甲外,1
0112036,0,2024,2024-04-01,26,眼科,1
0114032,0,2024,2024-04-01,18,整形外,1
0114560,0,2024,2024-04-02,10,小児科,1
0115641,0,2024,2024-04-02,34,救急科,1
0116169,0,2024,2024-04-01,34,救急科,1
0116185,0,2024,2024-04-01,26,眼科,1
0116821,0,2024,2024-04-02,16,乳甲外,1
0116821,0,2024,2024-04-01,28,放診断,1
0116821,0,2024,2024-04-02,28,放診断,1
0122027,0,2024,2024-04-02,21,皮膚科,1
0123470,0,2024,2024-04-02,10,小児科,1
0204502,0,2024,2024-04-01,20,脳神外,1
0206267,0,2024,2024-04-02,9,脳卒中,1
0206713,0,2024,2024-04-02,7,循環内,1
0206861,0,2024,2024-04-02,34,救急科,1
0206861,0,2024,2024-04-01,50,消化内,1
0207083,0,2024,2024-04-02,43,産婦人,1
0210012,0,2024,2024-04-01,50,消化内,1
0210012,0,2024,2024-04-01,9,脳卒中,1
0210145,0,2024,2024-04-02,2,脳神内,1
0210186,0,2024,2024-04-01,18,整形外,1
0210418,0,2024,2024-04-01,7,循環内,1
0210418,0,2024,2024-04-01,9,脳卒中,1
0210418,0,2024,2024-04-01,20,脳神外,1
0210517,0,2024,2024-04-02,34,救急科,1
0210756,0,2024,2024-04-02,29,放治療,1
0210822,0,2024,2024-04-01,8,腎臓内,1
0210863,0,2024,2024-04-01,7,循環内,1
0211218,0,2024,2024-04-02,34,救急科,1
0211259,0,2024,2024-04-02,22,泌尿器,1
0211333,0,2024,2024-04-02,21,皮膚科,1
0211481,0,2024,2024-04-01,28,放診断,1
0211481,0,2024,2024-04-01,8,腎臓内,1
0211515,0,2024,2024-04-01,2,脳神内,1
0211887,0,2024,2024-04-01,10,小児科,1
0212026,0,2024,2024-04-02,26,眼科,2
0212240,0,2024,2024-04-01,8,腎臓内,1
0212430,0,2024,2024-04-02,6,糖尿内,1
0212794,0,2024,2024-04-02,26,眼科,1
0212828,0,2024,2024-04-02,2,脳神内,1
0212927,0,2024,2024-04-02,9,脳卒中,1
0212968,0,2024,2024-04-02,9,脳卒中,1
0213040,0,2024,2024-04-02,21,皮膚科,1
0213065,0,2024,2024-04-01,18,整形外,1
0213172,0,2024,2024-04-02,21,皮膚科,1
0213214,0,2024,2024-04-02,9,脳卒中,1
0213222,0,2024,2024-04-02,21,皮膚科,1
0310820,0,2024,2024-04-01,6,糖尿内,1
0410125,0,2024,2024-04-01,6,糖尿内,1
0410372,0,2024,2024-04-01,26,眼科,1
0510098,0,2024,2024-04-02,17,小児外,1
0510098,0,2024,2024-04-02,8,腎臓内,1
0710086,0,2024,2024-04-02,18,整形外,1
0810019,0,2024,2024-04-01,31,リハ,1
0810019,0,2024,2024-04-02,14,消化外,1
0810100,0,2024,2024-04-01,21,皮膚科,1
0810522,0,2024,2024-04-02,8,腎臓内,1
0910199,0,2024,2024-04-01,27,臨腫瘍,1
0910249,0,2024,2024-04-02,7,循環内,1
1010288,0,2024,2024-04-02,19,形成外,1
1511276,0,2024,2024-04-01,2,脳神内,1
1512977,0,2024,2024-04-02,18,整形外,1
1516168,0,2024,2024-04-02,26,眼科,1
1710720,0,2024,2024-04-01,48,リウ膠,1
2600723,0,2024,2024-04-02,26,眼科,2
8900127,0,2024,2024-04-02,34,救急科,2
8900127,0,2024,2024-04-01,9,脳卒中,1
8900416,0,2024,2024-04-01,26,眼科,1
8902610,0,2024,2024-04-01,1,血液内,1
8903089,0,2024,2024-04-02,34,救急科,1
9800011,0,2024,2024-04-01,18,整形外,1
