hos_cd	ins	year	dep_cd	fie_name	intr
0104443	0	2023	32	歯口外	4
0104948	0	2023	32	歯口外	1
0105667	0	2023	14	消化外	1
0105667	0	2023	21	皮膚科	1
0106059	0	2023	32	歯口外	5
0106067	0	2023	01	血液内	1
0106414	0	2023	32	歯口外	1
0106558	0	2023	16	乳甲外	3
0106968	0	2023	32	歯口外	1
0107085	0	2023	18	整形外	2
0107135	0	2023	18	整形外	1
0107305	0	2023	32	歯口外	5
0107564	0	2023	26	眼科	13
0107564	0	2023	20	脳神外	1
0107622	0	2023	43	産婦人	1
0107622	0	2023	01	血液内	1
0107663	0	2023	10	小児科	1
0107663	0	2023	07	循環内	2
0107663	0	2023	18	整形外	1
0107663	0	2023	50	消化内	1
0107663	0	2023	21	皮膚科	1
0107663	0	2023	06	糖尿内	1
0107776	0	2023	32	歯口外	3
0107838	0	2023	34	救急科	1
0107982	0	2023	32	歯口外	5
0108030	0	2023	32	歯口外	1
0108034	0	2023	26	眼科	4
0108075	0	2023	17	小児外	1
0108261	0	2023	32	歯口外	3
0108469	0	2023	32	歯口外	6
0108675	0	2023	32	歯口外	12
0108828	0	2023	21	皮膚科	1
0108919	0	2023	10	小児科	5
0109156	0	2023	18	整形外	2
0109313	0	2023	20	脳神外	1
0109442	0	2023	25	耳鼻科	2
0109467	0	2023	32	歯口外	2
0109487	0	2023	06	糖尿内	1
0109780	0	2023	32	歯口外	1
0109996	0	2023	32	歯口外	1
0110013	0	2023	26	眼科	1
0110062	0	2023	25	耳鼻科	1
0110170	0	2023	05	呼吸内	1
0110170	0	2023	12	心療科	2
0110170	0	2023	43	産婦人	1
0110170	0	2023	25	耳鼻科	1
0110170	0	2023	02	脳神内	1
0110246	0	2023	34	救急科	1
0110246	0	2023	50	消化内	2
0110246	0	2023	14	消化外	2
0110246	0	2023	26	眼科	4
0110246	0	2023	09	脳卒中	1
0110261	0	2023	22	泌尿器	1
0110261	0	2023	50	消化内	9
0110279	0	2023	31	リハ	2
0110279	0	2023	12	心療科	8
0110279	0	2023	22	泌尿器	1
0110279	0	2023	06	糖尿内	1
0110279	0	2023	25	耳鼻科	2
0110279	0	2023	02	脳神内	1
0110352	0	2023	31	リハ	1
0110352	0	2023	12	心療科	1
0110352	0	2023	14	消化外	1
0110416	0	2023	32	歯口外	1
0110427	0	2023	18	整形外	2
0110440	0	2023	25	耳鼻科	2
0110493	0	2023	18	整形外	1
0110493	0	2023	22	泌尿器	2
0110493	0	2023	08	腎臓内	2
0110531	0	2023	32	歯口外	1
0110580	0	2023	32	歯口外	36
0110626	0	2023	16	乳甲外	1
0110626	0	2023	19	形成外	1
0110626	0	2023	15	心血外	1
0110626	0	2023	18	整形外	1
0110626	0	2023	50	消化内	2
0110626	0	2023	26	眼科	1
0110626	0	2023	25	耳鼻科	2
0110626	0	2023	02	脳神内	3
0110626	0	2023	20	脳神外	1
0110626	0	2023	27	臨腫瘍	1
0110626	0	2023	01	血液内	2
0110663	0	2023	19	形成外	1
0110689	0	2023	32	歯口外	1
0110895	0	2023	32	歯口外	1
0110899	0	2023	31	リハ	1
0110899	0	2023	25	耳鼻科	2
0111053	0	2023	50	消化内	3
0111053	0	2023	20	脳神外	1
0111061	0	2023	05	呼吸内	1
0111061	0	2023	21	皮膚科	2
0111061	0	2023	06	糖尿内	1
0111061	0	2023	25	耳鼻科	1
0111091	0	2023	32	歯口外	1
0111152	0	2023	48	リウ膠	1
0111152	0	2023	16	乳甲外	1
0111152	0	2023	05	呼吸内	7
0111152	0	2023	13	呼吸外	1
0111152	0	2023	10	小児科	2
0111152	0	2023	19	形成外	1
0111152	0	2023	07	循環内	10
0111152	0	2023	12	心療科	7
0111152	0	2023	15	心血外	7
0111152	0	2023	34	救急科	4
0111152	0	2023	18	整形外	15
0111152	0	2023	22	泌尿器	4
0111152	0	2023	50	消化内	8
0111152	0	2023	14	消化外	2
0111152	0	2023	21	皮膚科	3
0111152	0	2023	26	眼科	1
0111152	0	2023	06	糖尿内	6
0111152	0	2023	36	総合診	2
0111152	0	2023	25	耳鼻科	4
0111152	0	2023	09	脳卒中	4
0111152	0	2023	02	脳神内	4
0111152	0	2023	20	脳神外	4
0111152	0	2023	08	腎臓内	10
0111152	0	2023	01	血液内	1
0111158	0	2023	32	歯口外	1
0111224	0	2023	32	歯口外	1
0111240	0	2023	32	歯口外	1
0111299	0	2023	32	歯口外	3
0111319	0	2023	31	リハ	1
0111319	0	2023	05	呼吸内	1
0111319	0	2023	13	呼吸外	1
0111319	0	2023	19	形成外	1
0111319	0	2023	34	救急科	1
0111319	0	2023	18	整形外	7
0111319	0	2023	50	消化内	2
0111319	0	2023	26	眼科	1
0111319	0	2023	25	耳鼻科	1
0111319	0	2023	02	脳神内	8
0111319	0	2023	20	脳神外	1
0111319	0	2023	08	腎臓内	1
0111323	0	2023	19	形成外	1
0111327	0	2023	30	放核医	1
0111327	0	2023	18	整形外	1
0111327	0	2023	22	泌尿器	2
0111327	0	2023	50	消化内	2
0111327	0	2023	14	消化外	1
0111327	0	2023	09	脳卒中	1
0111327	0	2023	08	腎臓内	1
0111392	0	2023	18	整形外	2
0111392	0	2023	25	耳鼻科	1
0111392	0	2023	02	脳神内	1
0111392	0	2023	20	脳神外	1
0111398	0	2023	32	歯口外	2
0111400	0	2023	16	乳甲外	2
0111400	0	2023	05	呼吸内	1
0111400	0	2023	18	整形外	1
0111400	0	2023	02	脳神内	1
0111430	0	2023	36	総合診	1
0111430	0	2023	25	耳鼻科	1
0111442	0	2023	16	乳甲外	4
0111442	0	2023	19	形成外	3
0111442	0	2023	29	放治療	2
0111442	0	2023	14	消化外	1
0111442	0	2023	36	総合診	1
0111459	0	2023	16	乳甲外	2
0111459	0	2023	18	整形外	2
0111475	0	2023	22	泌尿器	1
0111475	0	2023	26	眼科	1
0111489	0	2023	32	歯口外	6
0111491	0	2023	48	リウ膠	1
0111491	0	2023	12	心療科	2
0111491	0	2023	28	放診断	1
0111491	0	2023	18	整形外	4
0111491	0	2023	22	泌尿器	1
0111491	0	2023	50	消化内	1
0111491	0	2023	21	皮膚科	1
0111491	0	2023	25	耳鼻科	1
0111491	0	2023	08	腎臓内	1
0111539	0	2023	32	歯口外	6
0111541	0	2023	21	皮膚科	6
0111604	0	2023	32	歯口外	1
0111608	0	2023	15	心血外	1
0111608	0	2023	28	放診断	1
0111608	0	2023	18	整形外	1
0111608	0	2023	22	泌尿器	1
0111608	0	2023	14	消化外	1
0111608	0	2023	21	皮膚科	1
0111608	0	2023	06	糖尿内	1
0111624	0	2023	15	心血外	1
0111624	0	2023	21	皮膚科	1
0111632	0	2023	32	歯口外	1
0111798	0	2023	18	整形外	1
0111855	0	2023	07	循環内	4
0111855	0	2023	15	心血外	3
0111855	0	2023	22	泌尿器	1
0111871	0	2023	18	整形外	4
0111889	0	2023	31	リハ	1
0111889	0	2023	16	乳甲外	1
0111889	0	2023	10	小児科	2
0111921	0	2023	21	皮膚科	1
0111939	0	2023	43	産婦人	1
0111954	0	2023	48	リウ膠	4
0111954	0	2023	13	呼吸外	1
0111954	0	2023	19	形成外	2
0111954	0	2023	15	心血外	2
0111954	0	2023	28	放診断	9
0111954	0	2023	18	整形外	13
0111954	0	2023	21	皮膚科	1
0111954	0	2023	02	脳神内	2
