hos_cd	ins	fie_name	dep_cd	year	invr_intr
0104443	0	歯口外	32	2023	1
0105937	0	歯口外	32	2023	1
0106059	0	歯口外	32	2023	1
0106414	0	歯口外	32	2023	1
0106539	0	消化内	50	2023	1
0106558	0	乳甲外	16	2023	2
0106558	0	整形外	18	2023	1
0106749	0	腎臓内	08	2023	1
0107024	0	歯口外	32	2023	1
0107135	0	皮膚科	21	2023	1
0107305	0	歯口外	32	2023	1
0107564	0	眼科	26	2023	16
0107663	0	循環内	07	2023	1
0107663	0	糖尿内	06	2023	1
0107663	0	腎臓内	08	2023	1
0107838	0	心血外	15	2023	1
0107982	0	リハ	31	2023	1
0107982	0	歯口外	32	2023	1
0108030	0	歯口外	32	2023	1
0108034	0	眼科	26	2023	2
0108097	0	歯口外	32	2023	1
0108345	0	歯口外	32	2023	1
0108451	0	耳鼻科	25	2023	1
0108469	0	歯口外	32	2023	6
0108477	0	歯口外	32	2023	1
0108675	0	歯口外	32	2023	6
0108828	0	救急科	34	2023	2
0109335	0	歯口外	32	2023	1
0109467	0	歯口外	32	2023	1
0109875	0	産婦人	43	2023	1
0110013	0	整形外	18	2023	1
0110062	0	産婦人	43	2023	1
0110170	0	呼吸内	05	2023	1
0110170	0	心療科	12	2023	1
0110170	0	整形外	18	2023	1
0110170	0	脳神内	02	2023	1
0110246	0	乳甲外	16	2023	1
0110246	0	形成外	19	2023	2
0110246	0	循環内	07	2023	1
0110246	0	救急科	34	2023	1
0110246	0	整形外	18	2023	2
0110246	0	眼科	26	2023	2
0110261	0	泌尿器	22	2023	1
0110261	0	脳神内	02	2023	1
0110261	0	腎臓内	08	2023	2
0110279	0	リハ	31	2023	1
0110279	0	心療科	12	2023	11
0110279	0	救急科	34	2023	2
0110279	0	消化内	50	2023	1
0110279	0	糖尿内	06	2023	1
0110279	0	脳神内	02	2023	2
0110352	0	消化外	14	2023	1
0110416	0	歯口外	32	2023	1
0110427	0	リウ膠	48	2023	2
0110493	0	心療科	12	2023	1
0110493	0	救急科	34	2023	1
0110493	0	整形外	18	2023	1
0110493	0	泌尿器	22	2023	1
0110493	0	腎臓内	08	2023	2
0110531	0	歯口外	32	2023	1
0110580	0	歯口外	32	2023	30
0110626	0	乳甲外	16	2023	1
0110626	0	循環内	07	2023	2
0110626	0	心血外	15	2023	1
0110626	0	放治療	29	2023	1
0110626	0	救急科	34	2023	1
0110626	0	脳神内	02	2023	1
0110689	0	歯口外	32	2023	2
0111018	0	歯口外	32	2023	1
0111061	0	消化内	50	2023	1
0111061	0	皮膚科	21	2023	3
0111152	0	呼吸内	05	2023	2
0111152	0	呼吸外	13	2023	10
0111152	0	小児科	10	2023	2
0111152	0	形成外	19	2023	1
0111152	0	循環内	07	2023	11
0111152	0	心療科	12	2023	1
0111152	0	心血外	15	2023	22
0111152	0	救急科	34	2023	9
0111152	0	整形外	18	2023	9
0111152	0	泌尿器	22	2023	1
0111152	0	消化内	50	2023	5
0111152	0	消化外	14	2023	4
0111152	0	皮膚科	21	2023	2
0111152	0	糖尿内	06	2023	4
0111152	0	総合診	36	2023	4
0111152	0	耳鼻科	25	2023	1
0111152	0	脳卒中	09	2023	2
0111152	0	脳神内	02	2023	5
0111152	0	脳神外	20	2023	2
0111152	0	腎臓内	08	2023	16
0111240	0	歯口外	32	2023	1
