hos_cd	ins	year	dep_cd	fie_name	invr_intr
0103825	0	2015		歯口外	1
0104443	0	2015		心血外	1
0104443	0	2013		歯口外	2
0104443	0	2016		歯口外	2
0104443	0	2017		歯口外	1
0104443	0	2019		歯口外	4
0104443	0	2021		歯口外	1
0104443	0	2023	32	歯口外	1
0104476	0	2016		歯口外	1
0104666	0	2019		リウ膠	1
0104666	0	2017		歯口外	1
0104666	0	2018		歯口外	1
0104922	0	2022		歯口外	1
0105093	0	2013		歯口外	1
0105093	0	2014		歯口外	1
0105093	0	2017		歯口外	2
0105093	0	2021		歯口外	1
0105291	0	2017		歯口外	1
0105408	0	2013		歯口外	2
0105408	0	2014		歯口外	1
0105408	0	2019		歯口外	1
0105515	0	2020		歯口外	1
0105556	0	2015		整形外	1
0105667	0	2021		形成外	1
0105667	0	2016		消化外	2
0105667	0	2017		消化外	2
0105667	0	2018		消化外	3
0105667	0	2016		胃腸内	1
0105667	0	2017		胃腸内	1
0105667	0	2021		胃腸内	1
0105683	0	2016		救急科	1
0105683	0	2015		総合診	1
0105796	0	2018		歯口外	2
0105796	0	2019		歯口外	1
0105796	0	2020		歯口外	1
0105895	0	2022		歯口外	1
0105937	0	2019		歯口外	1
0105937	0	2020		歯口外	2
0105937	0	2021		歯口外	1
0105937	0	2022		歯口外	5
0105937	0	2023	32	歯口外	1
0106059	0	2015		救急科	1
0106059	0	2021		歯口外	2
0106059	0	2022		歯口外	2
0106059	0	2023	32	歯口外	1
0106067	0	2013		循環内	1
0106067	0	2015		歯口外	1
0106067	0	2018		歯口外	1
0106067	0	2018		消化外	1
0106067	0	2016		糖尿内	1
0106067	0	2022		耳鼻科	1
0106349	0	2013		脳卒中	1
0106349	0	2015		血液内	1
0106356	0	2016		歯口外	1
0106356	0	2017		歯口外	1
0106356	0	2018		歯口外	1
0106414	0	2013		歯口外	1
0106414	0	2016		歯口外	1
0106414	0	2017		歯口外	1
0106414	0	2018		歯口外	1
0106414	0	2019		歯口外	1
0106414	0	2021		歯口外	1
0106414	0	2022		歯口外	2
0106414	0	2023	32	歯口外	1
0106414	0	2020		皮膚科	2
0106414	0	2021		耳鼻科	1
0106539	0	2017		循環内	1
0106539	0	2014		歯口外	1
0106539	0	2023	50	消化内	1
0106558	0	2013		乳甲外	1
0106558	0	2016		乳甲外	1
0106558	0	2018		乳甲外	3
0106558	0	2022		乳甲外	1
0106558	0	2023	16	乳甲外	2
0106558	0	2014		放治療	1
